id,type,address,number,postal_code,municipality,province,location,public,available,hours,latitude,longitude
86.0,,Schumanplein,11.0,1040.0,Brussel,Bruxelles-Brussel,,,,,,
96.0,,Graafschap - Jettelaan,2.0,1090.0,Brussel,Bruxelles-Brussel,,,,,50.8829618,4.3352484
97.0,,Sint-Pieterskerstraat,1.0,1090.0,Brussel,Bruxelles-Brussel,,,,,,
98.0,,Wemmelsestweg,100.0,1090.0,Brussel,Bruxelles-Brussel,,,,,,
101.0,,Tweestationsstraat,80.0,1070.0,Brussel,Bruxelles-Brussel,,,,,,
214.0,,Rue de l église,1.0,1150.0,Bruxelles,Bruxelles-Brussel,,,,,50.873872,4.353374
315.0,,Wetstraat,23.0,1040.0,Brussel,Bruxelles-Brussel,,,,,,
335.0,,Chaussée de Haecht,1405.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,,
354.0,,Bld Leopold II,44.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,,
355.0,,Adolphe Lavallée,1.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,50.8593023,4.3400079
356.0,,Bld. Du jardin Botanique,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
376.0,,Chée de Wavre,2057.0,1160.0,Bruxelles,Bruxelles-Brussel,,,,,,
377.0,,Av. Mounier,87.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,,
378.0,,Rue des Grives,53.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
383.0,,Brand Whitlocklaan,165.0,1200.0,Brussel,Bruxelles-Brussel,,,,,50.8413704,4.4071357
417.0,,Arianelaan,5.0,1200.0,Brussel,Bruxelles-Brussel,,,,,50.8585377,4.4325283
491.0,,Squaire Marie-Curie,40.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
492.0,,Rue Osseghem,53.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,,
495.0,,AVenue Herman Debroux,42.0,1160.0,Bruxelles,Bruxelles-Brussel,,,,,,
531.0,,Bld. Du Souverain,25.0,1170.0,Bruxelles,Bruxelles-Brussel,,,,,,
533.0,,Rue du Trône ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.839204,4.3672257
534.0,,Av. Marcel Thiry,208.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,,
543.0,,Rue Ducale,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8406861,4.3654012
545.0,,Av. de la Couronne,6.0,1050.0,Bruxelles,Bruxelles-Brussel,,,,,50.8161016,4.390952
575.0,,Laarbeeklaan,105.0,1090.0,Brussel,Bruxelles-Brussel,,,,,,
