latitude_intervention,longitude_intervention,latitude_permanence,longitude_permanence,vector_type
50.85139,4.36918,50.85097,4.36411,Ambulance
50.83336,4.34504,50.8343302,4.3454504,Ambulance
50.85076,4.36359,50.85097,4.36411,Ambulance
50.8561,4.43169,50.85211,4.4604,Ambulance
50.8561,4.43169,50.84226,4.39925,Ambulance
50.84039,4.46537,50.85211,4.4604,Ambulance
50.87788,4.38736,50.86948,4.38649,Ambulance
50.78453,4.31901,50.80469,4.36764,MUG
50.78068,4.2896,50.83254,4.31199,Ambulance
50.80364,4.39922,50.81887,4.40311,Ambulance
50.86305,4.32287,50.85946,4.35181,Ambulance
50.84889,4.35262,50.8258313,4.378717,PIT
50.85767,4.40025,50.86948,4.38649,Ambulance
50.88931,4.33315,50.89087,4.30867,Ambulance
50.82904,4.37555,50.81887,4.40311,Ambulance
50.83794,4.47403,50.85211,4.4604,Ambulance
50.84055,4.34219,50.8343302,4.3454504,Ambulance
50.84824,4.3798,50.85097,4.36411,Ambulance
50.79464,4.41829,50.81887,4.40311,Ambulance
50.81673,4.3654,50.815980418,4.3415237283,Ambulance
50.87798,4.39229,50.86948,4.38649,Ambulance
50.87798,4.39229,50.86937,4.38646,MUG
50.79878,4.4056,50.78344,4.35633,Ambulance
50.80364,4.34153,50.8343302,4.3454504,Ambulance
50.84292,4.31155,50.85946,4.35181,Ambulance
50.8215,4.3843,50.84226,4.39925,Ambulance
50.85759,4.3498,50.85946,4.35181,Ambulance
50.83972,4.32523,50.83254,4.31199,Ambulance
50.85335,4.34674,50.89087,4.30867,Ambulance
50.85335,4.34674,50.8523,4.35988,MUG
50.85335,4.34674,50.8343302,4.3454504,PIT
50.85993,4.29845,50.83254,4.31199,Ambulance
50.89578,4.35817,50.89087,4.30867,PIT
50.89836,4.30183,50.89087,4.30867,Ambulance
50.84173,4.36754,50.85946,4.35181,Ambulance
50.82354,4.37817,50.81887,4.40311,Ambulance
50.82154,4.36944,50.8047,4.36763,Ambulance
50.83213,4.31957,50.8343302,4.3454504,Ambulance
50.83213,4.31957,50.815980418,4.3415237283,Ambulance
50.8121,4.4021,50.81887,4.40311,Ambulance
50.8121,4.4021,50.85097,4.36411,Ambulance
